lng	lat	count
113.364318	23.170863	3.0
113.33753	23.125276	130.0
113.342035	23.197578	0.0
113.265555	23.152032	206.0
113.326506	23.152575	76.0
113.327548	23.059171	3.0
113.313377	23.073422	0.0
113.288032	23.116928	763.0
113.310524	23.098364	155.0
113.276184	23.172858	9.0
113.400497	23.191452	15.0
113.387016	23.133615	465.0
113.252078	23.168555	243.0
113.425227	23.158187	60.0
113.303773	23.065283	383.0
113.425193	23.131551	61.0
113.337527	23.090147	93.0
113.306026	23.121086	1520.0
113.407239	23.168741	160.0
113.337536	23.218217	250.0
113.362594	23.184891	32.0
113.34203	23.123218	832.0
113.41846	23.110894	276.0
113.39374	23.193765	373.0
113.389261	23.094357	109.0
113.301528	23.137608	166.0
113.366888	23.17064	6.0
113.288918	23.082525	39.0
113.337527	23.092214	65.0
113.393307	23.129591	126.0
113.377967	23.152145	21.0
113.339775	23.050878	99.0
113.292526	23.067334	362.0
113.306025	23.102489	138.0
113.362279	23.112922	1300.0
113.267796	23.067312	49.0
113.268694	23.078414	0.0
113.371275	23.090204	4.0
113.36003	23.119118	619.0
113.369025	23.0778	6.0
113.260367	23.166423	14.0
113.324024	23.079787	275.0
113.312774	23.092168	210.0
113.348784	23.170744	876.0
113.420703	23.108826	55.0
113.283536	23.13965	199.0
113.398249	23.096429	42.0
113.369027	23.100534	29.0
113.374562	23.118503	0.0
113.299276	23.135604	590.0
113.274521	23.166473	197.0
113.364533	23.172835	0.0
113.310526	23.131424	594.0
113.276735	23.174824	131.0
113.328527	23.102529	144.0
113.328528	23.125259	231.0
113.41846	23.115026	374.0
113.292526	23.061133	46.0
113.295452	23.15464	18.0
113.398252	23.12949	373.0
113.298665	23.148601	6.0
113.333392	23.141832	773.0
113.378022	23.098479	109.0
113.378024	23.129474	1431.0
113.256569	23.154096	40.0
113.40499	23.127426	156.0
113.34428	23.112891	201.0
113.416216	23.125358	277.0
113.425194	23.143947	3.0
113.258731	23.174728	94.0
113.351028	23.077771	5.0
113.297026	23.085942	22.0
113.382522	23.154269	3.0
113.373521	23.055068	9.0
113.267801	23.127243	174.0
113.324027	23.123184	97.0
113.308372	23.127157	158.0
113.36453	23.133587	498.0
113.35088	23.112917	288.0
113.254321	23.129305	591.0
113.42295	23.14808	3.0
113.312776	23.123164	512.0
113.312692	23.149996	276.0
113.252077	23.160293	267.0
113.267803	23.166492	54.0
113.330779	23.129395	2408.0
113.262724	23.195504	13.0
113.305335	23.218069	37.0
113.24085	23.139639	202.0
113.294777	23.096273	110.0
113.315787	23.10038	39.0
113.261186	23.108389	133.0
113.353282	23.143899	147.0
113.308276	23.123156	810.0
113.261011	23.162323	2.0
113.362285	23.195549	651.0
113.411726	23.121227	837.0
113.387021	23.205904	75.0
113.281307	23.08383	96.0
113.263726	23.160597	227.0
113.411727	23.148085	18.0
113.328597	23.1893	156.0
113.299275	23.077302	11.0
113.292528	23.090069	286.0
113.429681	23.141877	367.0
113.369021	23.104223	9.0
113.416215	23.108828	289.0
113.294777	23.094206	41.0
113.400499	23.146018	0.0
113.306022	23.067354	161.0
113.420816	23.127969	0.0
113.326275	23.079792	433.0
113.267802	23.152033	14.0
113.373526	23.12327	87.0
113.262117	23.192471	6.0
113.274542	23.12518	965.0
113.391516	23.197648	76.0
113.342027	23.083955	171.0
113.317283	23.216114	2.0
113.292516	23.135542	104.0
113.272295	23.129311	287.0
113.326277	23.119056	208.0
113.312998	23.161912	86.0
113.337532	23.158329	151.0
113.279981	23.084802	106.0
113.279034	23.06732	204.0
113.374803	23.121327	0.0
113.368907	23.160309	409.0
113.252078	23.172685	262.0
113.326281	23.178962	204.0
113.319522	23.059109	120.0
113.317274	23.094242	1241.0
113.422948	23.115024	30.0
113.328529	23.143852	1852.0
113.387012	23.065419	0.0
113.34203	23.119086	391.0
113.328528	23.129391	1718.0
113.240857	23.15616	23.0
113.344287	23.220294	2.0
113.411728	23.160479	78.0
113.37406	23.098463	3.0
113.420703	23.10676	18.0
113.377932	23.118674	0.0
113.27226	23.098291	203.0
113.333039	23.079799	171.0
113.373527	23.137733	267.0
113.353267	23.146144	31.0
113.28575	23.075623	315.0
113.36678	23.129459	18.0
113.330776	23.092201	195.0
113.272297	23.147904	213.0
113.267797	23.071446	397.0
113.29253	23.129331	248.0
113.398249	23.090229	47.0
113.261052	23.193347	53.0
113.317273	23.073574	3.0
113.312859	23.104252	46.0
113.35781	23.07782	3.0
113.387019	23.168732	158.0
113.382523	23.164597	356.0
113.355534	23.174886	17.0
113.238703	23.137842	48.0
113.357784	23.17489	6.0
113.350604	23.0943	0.0
113.411725	23.115028	1018.0
113.285948	23.201851	0.0
113.24534	23.137572	25.0
113.294254	23.203764	5.0
113.382526	23.210029	14.0
113.362286	23.214131	53.0
113.277229	23.137209	266.0
113.245341	23.16236	18.0
113.425192	23.121221	283.0
113.396072	23.13151	104.0
113.342032	23.150075	194.0
113.364534	23.191422	55.0
113.337531	23.145935	542.0
113.384712	23.191891	24.0
113.285815	23.059098	17.0
113.418461	23.131556	15.0
113.254323	23.162358	132.0
113.315029	23.168615	284.0
113.258816	23.168555	25.0
113.353277	23.06744	150.0
113.427437	23.141879	85.0
113.312793	23.113561	6.0
113.382517	23.079884	18.0
113.335282	23.162456	286.0
113.409481	23.127426	587.0
113.317283	23.154308	284.0
113.267803	23.168557	29.0
113.254324	23.17062	41.0
113.389264	23.127419	780.0
113.384771	23.166665	69.0
113.272181	23.115439	108.0
113.335284	23.189305	87.0
113.288186	23.199535	0.0
113.321859	23.187206	56.0
113.33078	23.154185	627.0
113.348781	23.119098	307.0
113.331533	23.203216	6.0
113.32178	23.209925	42.0
113.251923	23.118993	142.0
113.27904	23.147909	6.0
113.276787	23.073519	103.0
113.396006	23.137753	715.0
113.301527	23.131409	232.0
113.253765	23.124757	104.0
