lng	lat	count
113.27679	23.129314	382
113.33528	23.137668	1477
113.351027	23.063302	0
113.28803	23.090064	354
113.371275	23.081937	12
113.262594	23.085434	62
113.375772	23.077809	156
113.247591	23.125963	118
113.301528	23.141739	662
113.339133	23.147125	61
113.384771	23.16873	45
113.374221	23.120087	9
113.252909	23.182157	5
113.267805	23.195405	103
113.389269	23.201776	160
113.326284	23.214066	32
113.294777	23.100405	725
113.344287	23.21823	6
113.26048	23.104401	65
113.324025	23.096321	566
113.346627	23.187056	9
113.288134	23.067676	389
113.303393	23.094739	30
113.38252	23.129479	1851
113.272298	23.166494	204
113.249821	23.124901	368
113.252083	23.178878	167
113.353279	23.100509	0
113.276153	23.140472	12
113.335353	23.051207	30
113.39602	23.108849	21
113.319526	23.116977	66
113.283282	23.094091	430
113.351035	23.083965	18
113.353341	23.125649	406
113.273662	23.147892	92
113.324023	23.059117	148
113.273126	23.091445	11
113.409481	23.123293	205
113.393763	23.201779	37
113.324053	23.183085	115
113.337307	23.095812	18
113.402745	23.135689	90
113.303774	23.083886	161
113.393759	23.14395	0
113.319533	23.222312	7
113.373522	23.06127	36
113.380267	23.059211	46
113.398254	23.164608	6
113.267797	23.069379	261
113.330381	23.071584	0
113.283782	23.098449	196
113.274982	23.104386	94
113.303754	23.112054	24
113.247585	23.129307	374
113.272292	23.079716	232
113.254322	23.141701	157
113.384769	23.141877	18
113.34878	23.112899	114
113.339643	23.15421	259
113.3668	23.166628	6
113.306031	23.135632	597
113.258715	23.178912	158
113.344284	23.181062	40
113.333581	23.154314	108
113.321761	23.174794	110
113.267709	23.100647	138
113.303774	23.085952	62
113.302269	23.116881	4
113.244634	23.133677	52
113.346533	23.160412	394
113.382519	23.115015	100
113.32178	23.168627	195
113.335285	23.20376	23
113.245339	23.121043	180
113.375774	23.10261	51
113.317275	23.104575	199
113.382521	23.139809	9
113.411728	23.139822	9
113.339777	23.090151	8
113.358533	23.13954	32
113.319524	23.08598	247
113.360065	23.189377	69
113.297051	23.15359	0
113.37802	23.077812	380
113.396005	23.125357	290
113.32418	23.154332	24
113.340151	23.168346	53
113.319553	23.207849	25
113.254363	23.083872	36
113.328529	23.139721	547
113.29779	23.067565	22
113.407709	23.119122	234
113.389241	23.152556	3
113.357781	23.129445	400
113.418463	23.17287	0
113.335273	23.205813	20
113.360022	23.071581	4
113.362278	23.083991	0
113.364527	23.090194	4
113.413698	23.158533	146
113.362286	23.212067	12
113.2885	23.125969	0
113.328512	23.077309	0
113.335322	23.100512	193
113.429529	23.124718	12
113.35778	23.112915	3778
113.261059	23.114843	182
113.362281	23.13565	332
113.344281	23.129421	621
113.344278	23.081892	67
113.364527	23.096394	4
113.236343	23.125876	199
113.287993	23.112844	132
113.353285	23.176948	23
113.344217	23.145376	585
113.413975	23.170805	0
113.241889	23.114343	0
113.4005	23.160478	91
113.328546	23.078384	3
113.23636	23.118981	226
113.355532	23.141837	293
113.373167	23.170384	0
113.407499	23.183354	0
113.35779	23.197609	128
113.364536	23.218264	6
113.285779	23.061124	231
113.274543	23.131379	62
113.261063	23.174751	51
113.33744	23.126494	38
113.321779	23.152103	219
113.398251	23.115027	689
113.339778	23.100484	8
113.342031	23.13768	1911
113.360027	23.065385	3
113.281282	23.065254	414
113.288029	23.07353	417
113.265602	23.09824	148
113.292784	23.109442	0
113.349049	23.081724	83
113.254359	23.147395	8
113.371279	23.150124	180
113.245342	23.164425	66
113.42295	23.146014	90
113.326275	23.088059	116
